domain,protein,layer_num,head,status,homo_sister,source
COCH_4apes,COCH,8,3,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer8/COCH_4apes_layer8_head3_tree.nwk
COCH_4apes,COCH,8,4,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer8/COCH_4apes_layer8_head4_tree.nwk
COCH_4apes,COCH,8,5,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer8/COCH_4apes_layer8_head5_tree.nwk
COCH_4apes,COCH,8,6,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer8/COCH_4apes_layer8_head6_tree.nwk
COCH_4apes,COCH,8,7,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer8/COCH_4apes_layer8_head7_tree.nwk
COCH_4apes,COCH,8,8,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer8/COCH_4apes_layer8_head8_tree.nwk
COCH_4apes,COCH,8,9,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer8/COCH_4apes_layer8_head9_tree.nwk
COCH_4apes,COCH,9,1,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer9/COCH_4apes_layer9_head1_tree.nwk
COCH_4apes,COCH,9,10,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer9/COCH_4apes_layer9_head10_tree.nwk
COCH_4apes,COCH,9,11,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer9/COCH_4apes_layer9_head11_tree.nwk
COCH_4apes,COCH,9,12,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer9/COCH_4apes_layer9_head12_tree.nwk
COCH_4apes,COCH,9,13,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer9/COCH_4apes_layer9_head13_tree.nwk
COCH_4apes,COCH,9,14,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer9/COCH_4apes_layer9_head14_tree.nwk
COCH_4apes,COCH,9,15,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer9/COCH_4apes_layer9_head15_tree.nwk
COCH_4apes,COCH,9,16,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer9/COCH_4apes_layer9_head16_tree.nwk
COCH_4apes,COCH,9,17,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer9/COCH_4apes_layer9_head17_tree.nwk
COCH_4apes,COCH,9,18,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer9/COCH_4apes_layer9_head18_tree.nwk
COCH_4apes,COCH,9,19,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer9/COCH_4apes_layer9_head19_tree.nwk
COCH_4apes,COCH,9,2,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer9/COCH_4apes_layer9_head2_tree.nwk
COCH_4apes,COCH,9,20,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer9/COCH_4apes_layer9_head20_tree.nwk
COCH_4apes,COCH,9,3,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer9/COCH_4apes_layer9_head3_tree.nwk
COCH_4apes,COCH,9,4,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer9/COCH_4apes_layer9_head4_tree.nwk
COCH_4apes,COCH,9,5,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer9/COCH_4apes_layer9_head5_tree.nwk
COCH_4apes,COCH,9,6,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer9/COCH_4apes_layer9_head6_tree.nwk
COCH_4apes,COCH,9,7,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer9/COCH_4apes_layer9_head7_tree.nwk
COCH_4apes,COCH,9,8,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer9/COCH_4apes_layer9_head8_tree.nwk
COCH_4apes,COCH,9,9,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer9/COCH_4apes_layer9_head9_tree.nwk
DYRK1B_4apes,DYRK1B,1,1,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer1/DYRK1B_4apes_layer1_head1_tree.nwk
DYRK1B_4apes,DYRK1B,1,10,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer1/DYRK1B_4apes_layer1_head10_tree.nwk
DYRK1B_4apes,DYRK1B,1,11,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer1/DYRK1B_4apes_layer1_head11_tree.nwk
DYRK1B_4apes,DYRK1B,1,12,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer1/DYRK1B_4apes_layer1_head12_tree.nwk
DYRK1B_4apes,DYRK1B,1,13,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer1/DYRK1B_4apes_layer1_head13_tree.nwk
DYRK1B_4apes,DYRK1B,1,14,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer1/DYRK1B_4apes_layer1_head14_tree.nwk
DYRK1B_4apes,DYRK1B,1,15,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer1/DYRK1B_4apes_layer1_head15_tree.nwk
DYRK1B_4apes,DYRK1B,1,16,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer1/DYRK1B_4apes_layer1_head16_tree.nwk
DYRK1B_4apes,DYRK1B,1,17,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer1/DYRK1B_4apes_layer1_head17_tree.nwk
DYRK1B_4apes,DYRK1B,1,18,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer1/DYRK1B_4apes_layer1_head18_tree.nwk
DYRK1B_4apes,DYRK1B,1,19,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer1/DYRK1B_4apes_layer1_head19_tree.nwk
DYRK1B_4apes,DYRK1B,1,2,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer1/DYRK1B_4apes_layer1_head2_tree.nwk
DYRK1B_4apes,DYRK1B,1,20,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer1/DYRK1B_4apes_layer1_head20_tree.nwk
DYRK1B_4apes,DYRK1B,1,3,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer1/DYRK1B_4apes_layer1_head3_tree.nwk
DYRK1B_4apes,DYRK1B,1,4,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer1/DYRK1B_4apes_layer1_head4_tree.nwk
DYRK1B_4apes,DYRK1B,1,5,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer1/DYRK1B_4apes_layer1_head5_tree.nwk
DYRK1B_4apes,DYRK1B,1,6,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer1/DYRK1B_4apes_layer1_head6_tree.nwk
DYRK1B_4apes,DYRK1B,1,7,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer1/DYRK1B_4apes_layer1_head7_tree.nwk
DYRK1B_4apes,DYRK1B,1,8,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer1/DYRK1B_4apes_layer1_head8_tree.nwk
DYRK1B_4apes,DYRK1B,1,9,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer1/DYRK1B_4apes_layer1_head9_tree.nwk
